1p. Locale broad type (name),1q. Census Region,2a. Total number of buses,4b. Number of students in district,4c. Number of schools in district,4f. Median household income,4g. Percent of population below the poverty level,5f. PM2.5 concentration,5h. Ozone concentration
Rural,Midwest,7.0,267.0,2.0,73750.0,0.073,3.972130822,56.89531
Urban,Midwest,82.0,9041.0,16.0,94562.0,0.052000000000000005,9.842267642,62.21376392
Rural,West,21.0,1163.0,8.0,80492.0,0.047,3.572120751,55.5561691
Urban,Midwest,108.0,11634.0,17.0,71319.0,0.11900000000000001,8.040786881,58.57016926
Town,Midwest,30.0,1998.0,5.0,40858.0,0.205,7.334185344,54.64707145
Rural,South,98.0,5200.0,18.0,43861.0,0.171,8.134080027,58.9437413
Urban,South,43.0,7675.0,10.0,49656.0,0.198,9.141698634,61.31546365
Suburban,South,116.0,16310.0,24.0,53188.0,0.172,8.167667481,63.27646467
Town,South,11.0,687.0,2.0,63835.0,0.138,8.870540679,59.73053973
Rural,South,5.0,133.0,1.0,32083.0,0.184,6.977850722,61.22934518
Town,Northeast,36.0,1271.0,3.0,56303.0,0.142,6.392980231,54.0277598
Suburban,Northeast,35.0,5494.0,8.0,65369.0,0.214,6.967557531,63.95386688
Rural,Midwest,5.0,183.0,2.0,35313.0,0.175,7.239766383,55.2610535
Town,South,43.0,3297.0,6.0,46328.0,0.163,8.559352734,61.50262927
Rural,Midwest,7.0,225.0,2.0,57031.0,0.129,5.659617768,56.92872009
Town,South,43.0,2731.0,6.0,61959.0,0.087,7.954927365,55.89961035
Urban,South,303.0,75995.0,154.0,54124.0,0.203,8.188442373,70.0823543
Suburban,South,7.0,1382.0,5.0,44851.0,0.23,9.858982973,65.68230646
Rural,South,249.0,29248.0,34.0,111169.0,0.037000000000000005,9.197797538,70.3799358
Suburban,South,413.0,73558.0,84.0,58513.0,0.135,7.8119077,61.37044265
Suburban,Midwest,10.0,1257.0,3.0,88523.0,0.078,10.35262491,66.2023298
Rural,Northeast,15.0,484.0,1.0,62414.0,0.129,6.204708847,52.42065062
Rural,Midwest,9.0,349.0,2.0,38313.0,0.215,7.515027323,57.20584797
Rural,South,21.0,2166.0,7.0,55058.0,0.095,7.387971566,61.3140945
Town,West,31.0,1579.0,11.0,52317.0,0.14400000000000002,6.345184023,60.96388805
Town,West,20.0,1164.0,3.0,41445.0,0.145,8.137001272,53.50345793
Town,South,38.0,3370.0,7.0,45092.0,0.17600000000000002,7.350141926,56.38718923
Urban,Midwest,55.0,4642.0,4.0,81363.0,0.085,9.450591433,66.48681202
Rural,Midwest,6.0,138.0,2.0,62250.0,0.122,7.171060039,57.84069988
Suburban,Midwest,7.0,1286.0,3.0,50417.0,0.185,8.748985392,64.07677217
Rural,South,61.0,2761.0,6.0,40406.0,0.212,7.819501205,56.5721893
Town,South,31.0,2261.0,4.0,56991.0,0.12,7.424326999,61.45396418
Urban,South,548.0,73384.0,124.0,77902.0,0.13699999999999998,9.628272826,62.74487054
Rural,Midwest,9.0,338.0,3.0,60613.0,0.098,5.040653047,53.60854152
Town,Midwest,16.0,1225.0,3.0,54759.0,0.09,6.062298527,59.79789973
Rural,South,22.0,2480.0,5.0,43202.0,0.19,8.478718293,61.01558195
Rural,South,29.0,1140.0,3.0,60369.0,0.15,7.263403864,61.02486026
Urban,South,109.0,16493.0,25.0,61190.0,0.11699999999999999,8.706468608,68.4846973
Rural,South,19.0,626.0,2.0,52708.0,0.17800000000000002,8.24060428,56.20473403
Rural,Northeast,45.0,2782.0,8.0,75259.0,0.065,5.387379098,51.8350679
Urban,Midwest,106.0,13228.0,26.0,79117.0,0.06,9.97365768,61.81231178
Rural,Northeast,65.0,1631.0,2.0,91281.0,0.067,7.755735919,64.39648031
Town,Midwest,22.0,1687.0,3.0,61796.0,0.135,8.937488554,60.21851878
Rural,West,6.0,204.0,1.0,72404.0,0.07200000000000001,8.194044687,55.90398538
Town,Midwest,22.0,2541.0,6.0,57165.0,0.11599999999999999,8.296973947,57.03832682
Suburban,Northeast,6.0,1008.0,3.0,177633.0,0.031,7.422958658,61.43786471
Suburban,South,5.0,1043.0,4.0,36642.0,0.256,7.831053262,56.39563922
Town,Midwest,12.0,896.0,3.0,53197.0,0.141,7.37012664,56.51960816
Rural,South,107.0,2579.0,7.0,65079.0,0.068,7.193917493,56.4610189
Rural,South,12.0,814.0,4.0,63013.0,0.11800000000000001,8.514579398,64.1548002
Rural,Midwest,32.0,2215.0,5.0,46116.0,0.20800000000000002,8.499357991,61.27655202
Rural,West,4.0,47.0,2.0,35625.0,0.121,4.359518112,54.23577927
Town,Midwest,20.0,1392.0,4.0,67022.0,0.096,8.593910999,64.51132369
Rural,South,6.0,185.0,1.0,66827.0,0.055999999999999994,8.135220083,66.29175596
Rural,West,10.0,105.0,3.0,56250.0,0.28800000000000003,3.771648795,54.6103
Rural,Northeast,5.0,153.0,1.0,72500.0,0.057,4.036043479,58.7873
Urban,Midwest,11.0,3788.0,8.0,41924.0,0.34700000000000003,8.138978138,55.24717596
Town,Midwest,62.0,4161.0,8.0,46106.0,0.188,7.036883707,54.11643357
Urban,West,11.0,4260.0,7.0,68237.0,0.14,8.70366054,59.16155739
Rural,South,8.0,253.0,3.0,39474.0,0.257,7.540173901,60.58775858
Town,West,17.0,1580.0,3.0,62794.0,0.111,6.012100943,51.29561693
Rural,Midwest,6.0,209.0,1.0,56078.0,0.11699999999999999,7.338568261,55.44188278
Rural,Midwest,11.0,475.0,3.0,69483.0,0.048,7.284266197,57.84951559
Suburban,Northeast,54.0,5492.0,12.0,119172.0,0.049,7.097275603,64.25379301
Town,Midwest,29.0,2931.0,8.0,60045.0,0.078,9.138554794,60.2271
Rural,Midwest,8.0,367.0,3.0,71250.0,0.09699999999999999,7.837772416,56.36971533
Town,Midwest,12.0,986.0,5.0,52034.0,0.121,7.985974578,54.90776109
Rural,Midwest,16.0,1282.0,3.0,64619.0,0.10099999999999999,8.510731852,56.33689055
Town,Midwest,19.0,1243.0,4.0,93007.0,0.057,7.31538562,56.14093103
Suburban,Northeast,103.0,6814.0,13.0,68813.0,0.094,6.784522559,55.11613967
Rural,Midwest,8.0,512.0,3.0,66400.0,0.081,7.102942819,54.74232261
Rural,South,12.0,890.0,4.0,31755.0,0.159,8.730914602,59.99255506
Rural,Midwest,9.0,76.0,2.0,77578.0,0.013999999999999999,5.050714842,57.01036186
Suburban,South,329.0,43417.0,50.0,73491.0,0.086,9.743085304,71.04562069
Rural,South,12.0,512.0,4.0,67031.0,0.079,7.295156085,59.92351821
Town,Midwest,52.0,3954.0,12.0,69044.0,0.113,4.300797578,57.44039739
Town,Midwest,24.0,915.0,4.0,83519.0,0.071,8.675582367,58.95473424
Suburban,Midwest,75.0,6178.0,11.0,61474.0,0.122,9.481949654,59.90795819
Rural,West,26.0,1287.0,4.0,84974.0,0.107,6.266865919,49.42712643
Rural,Midwest,32.0,1668.0,6.0,44837.0,0.16899999999999998,8.122674196,56.81468713
Suburban,West,51.0,2865.0,9.0,97961.0,0.113,6.59110807,55.55925149
Rural,South,24.0,1493.0,3.0,59706.0,0.226,8.51342448,62.34373478
Urban,South,73.0,13772.0,21.0,108241.0,0.051,9.463276554,68.26673157
Rural,Midwest,13.0,631.0,3.0,61346.0,0.121,8.537224826,58.57356895
Town,West,5.0,907.0,3.0,32585.0,0.251,4.517687773,61.2077525
Rural,Midwest,12.0,538.0,2.0,58571.0,0.092,7.044186578,55.99891348
Rural,South,11.0,970.0,3.0,32061.0,0.303,9.262887123,60.03721
Rural,Midwest,10.0,911.0,3.0,87008.0,0.04,8.561773853,57.78999647
Town,Midwest,11.0,848.0,1.0,47181.0,0.166,8.645626036,60.16601788
Town,South,87.0,3990.0,5.0,47837.0,0.154,9.257709919,59.57640196
Suburban,South,108.0,10990.0,13.0,58253.0,0.145,9.923792158,66.80343464
Rural,Northeast,16.0,612.0,3.0,47572.0,0.17800000000000002,4.320961081,50.69243506
Urban,South,110.0,8181.0,22.0,51090.0,0.14800000000000002,6.700252831,55.09216964
Town,Midwest,25.0,2148.0,5.0,47406.0,0.184,8.256134297,58.30668638
Suburban,Midwest,43.0,2494.0,4.0,89367.0,0.022000000000000002,8.717597373,61.04574664
Town,West,32.0,4504.0,12.0,141187.0,0.052000000000000005,5.498489118,65.79487051
Rural,Midwest,8.0,460.0,1.0,55893.0,0.159,5.083910787,52.17462558
Town,South,25.0,1083.0,3.0,44625.0,0.182,8.778471365,58.31216833
Suburban,Northeast,1.0,83.0,1.0,141964.0,0.05,6.872468493,64.3391
Rural,Midwest,22.0,941.0,2.0,64747.0,0.128,8.439811698,58.89095481
Urban,South,173.0,13597.0,26.0,48476.0,0.184,7.226255817,57.79317919
Rural,South,37.0,2393.0,6.0,53555.0,0.161,8.269301448,56.72484672
Rural,Northeast,1.0,7.0,0.0,94792.0,0.22399999999999998,3.869927836,50.21157
Rural,West,3.0,179.0,1.0,75417.0,0.113,7.76347229,74.84109452
Urban,South,361.0,43935.0,54.0,54517.0,0.146,8.767304172,62.99090004
Rural,Midwest,19.0,285.0,1.0,52400.0,0.13,6.715018349,57.86709072
Town,Midwest,13.0,870.0,3.0,49008.0,0.138,8.234789386,59.85813853
Town,Midwest,49.0,3842.0,8.0,60169.0,0.09300000000000001,7.38811546,57.04584806
Rural,Northeast,13.0,506.0,2.0,158989.0,0.0,7.60723863,62.01312
Rural,Midwest,13.0,314.0,2.0,74261.0,0.115,9.044273771,61.22934697
Town,South,110.0,9920.0,26.0,54124.0,0.152,7.33293468,56.1414956
Suburban,Midwest,64.0,7058.0,17.0,67964.0,0.08900000000000001,9.219245137,61.01291914
Rural,Midwest,11.0,470.0,2.0,65583.0,0.1,6.861564641,58.00220898
Rural,South,52.0,2668.0,6.0,45766.0,0.214,7.095772947,60.99715736
Town,Northeast,14.0,1453.0,3.0,50833.0,0.149,6.13936238,53.01420978
Town,West,22.0,4170.0,7.0,75469.0,0.08800000000000001,6.434253844,74.36517348
Rural,Midwest,7.0,210.0,2.0,54028.0,0.111,7.201796666,56.33078095
Rural,West,5.0,49.0,1.0,46667.0,0.188,4.419099288,55.18481
Urban,South,92.0,13548.0,23.0,60114.0,0.12,7.331889779,60.50610157
Rural,West,12.0,1012.0,2.0,119152.0,0.188,9.829797893,73.1294526
Rural,South,29.0,1192.0,4.0,37720.0,0.215,6.126020538,55.61858848
Suburban,West,78.0,10828.0,19.0,99906.0,0.063,7.012918073,65.56891403
Suburban,West,36.0,9172.0,18.0,61889.0,0.162,11.76240184,73.17479766
Rural,West,3.0,127.0,2.0,46875.0,0.302,6.409526849,44.67081
Suburban,Midwest,20.0,3082.0,5.0,59934.0,0.133,9.637438239,59.16123259
Urban,Midwest,112.0,11431.0,25.0,60102.0,0.126,6.567937598,59.06502428
Rural,West,2.0,148.0,2.0,51944.0,0.099,9.038909315,68.42796
Rural,West,3.0,67.0,1.0,65313.0,0.049,3.258887178,57.7712
Suburban,Midwest,27.0,1366.0,4.0,43908.0,0.23,8.195873636,56.97148794
Town,Midwest,4.0,1249.0,4.0,79796.0,0.075,7.575779159,57.54619516
Rural,West,14.0,3920.0,7.0,37914.0,0.392,7.312739445,66.28573497
Town,Midwest,26.0,1862.0,4.0,58019.0,0.094,9.210193905,62.48188306
Rural,Northeast,30.0,1519.0,2.0,70544.0,0.096,6.631539166,55.87512107
Rural,Midwest,8.0,508.0,2.0,42670.0,0.19399999999999998,8.267327775,57.85282173
Rural,Midwest,4.0,173.0,2.0,44808.0,0.153,7.098575646,57.05859291
Town,Midwest,14.0,1149.0,3.0,60354.0,0.135,8.139207119,57.90776044
Town,West,9.0,929.0,3.0,59846.0,0.179,5.76951058,43.65315456
Rural,Midwest,14.0,1069.0,6.0,83700.0,0.086,8.028372834,58.1081812
Town,Midwest,10.0,947.0,3.0,68856.0,0.106,7.725058348,58.05721946
Suburban,Northeast,147.0,8141.0,11.0,82038.0,0.075,6.745961841,55.09722253
Suburban,South,22.0,2132.0,5.0,63365.0,0.11599999999999999,8.051682573,56.13337276
Town,South,35.0,3011.0,6.0,71884.0,0.132,7.131732231,66.89147517
Rural,West,3.0,264.0,3.0,54891.0,0.121,0.0,0.0
Rural,West,8.0,1029.0,4.0,35426.0,0.39299999999999996,6.123094195,81.44242389
Suburban,West,153.0,21606.0,46.0,77903.0,0.11199999999999999,6.894333621,50.26508394
Rural,South,26.0,1045.0,4.0,55950.0,0.10099999999999999,8.432010895,61.62825061
Rural,South,12.0,565.0,2.0,43327.0,0.12300000000000001,8.811586095,58.22902366
Rural,Midwest,17.0,727.0,2.0,71575.0,0.079,7.175495186,55.89790979
Town,South,29.0,2004.0,4.0,45988.0,0.201,7.968409007,56.53620912
Rural,West,9.0,192.0,3.0,57174.0,0.07400000000000001,5.210129539,52.20012206
Rural,South,12.0,474.0,2.0,63898.0,0.08199999999999999,5.933213482,62.0958061
Town,West,2.0,195.0,1.0,66250.0,0.08800000000000001,5.574720114,46.68297718
Suburban,Northeast,36.0,2644.0,5.0,85934.0,0.04,6.446842161,53.20081762
Rural,Midwest,3.0,74.0,1.0,66125.0,0.11599999999999999,6.989657206,57.55136324
Suburban,West,55.0,9257.0,21.0,81770.0,0.115,4.835344062,50.97513439
Rural,South,11.0,617.0,3.0,74158.0,0.031,8.953386352,60.22868617
Rural,West,2.0,77.0,2.0,35450.0,0.157,4.050942247,60.28396
Urban,West,136.0,22809.0,51.0,67593.0,0.11699999999999999,6.766440938,52.01429581
Suburban,Midwest,9.0,1006.0,3.0,64554.0,0.10099999999999999,7.954059276,55.18141883
Suburban,Midwest,67.0,2930.0,1.0,104174.0,0.036000000000000004,9.618745574,63.37306692
Rural,Midwest,6.0,170.0,2.0,63409.0,0.054000000000000006,6.591010503,59.50315943
Suburban,Midwest,27.0,1703.0,4.0,98973.0,0.076,8.938118149,61.47258205
Rural,South,73.0,4113.0,5.0,60504.0,0.151,8.250539425,61.88202172
Rural,Midwest,9.0,995.0,4.0,96453.0,0.032,7.885946042,58.5668061
Town,Midwest,10.0,703.0,2.0,44330.0,0.302,7.063010697,55.18263815
Suburban,Midwest,44.0,5903.0,9.0,69688.0,0.079,9.974328276,62.02099152
Rural,West,11.0,395.0,4.0,32219.0,0.207,4.030243562,60.5987
Rural,Northeast,15.0,410.0,1.0,61474.0,0.068,6.366732684,54.04119686
Town,West,16.0,433.0,2.0,55474.0,0.146,5.623544956,44.25714018
Rural,Midwest,14.0,1092.0,3.0,83376.0,0.061,8.99057308,61.11383183
Rural,Northeast,31.0,869.0,2.0,89903.0,0.094,6.810435975,54.34263038
Town,Midwest,25.0,1373.0,3.0,64448.0,0.081,8.708502324,62.01894814
Rural,West,13.0,121.0,3.0,61250.0,0.19899999999999998,8.04694937,53.39292
Rural,Midwest,7.0,347.0,3.0,42708.0,0.138,7.392027093,56.65001575
Rural,Northeast,19.0,882.0,3.0,57750.0,0.09,5.697610024,51.60505661
Suburban,West,72.0,9564.0,18.0,103115.0,0.07400000000000001,7.379193591,45.96815003
Rural,Midwest,4.0,575.0,2.0,50357.0,0.124,7.475036915,56.7384354
Rural,Midwest,2.0,41.0,1.0,70500.0,0.155,7.0562581,55.43396952
Rural,Midwest,18.0,964.0,2.0,59700.0,0.11699999999999999,5.068520984,58.09552147
Town,Northeast,21.0,1180.0,2.0,68139.0,0.09,6.720393818,56.60971354
Town,Midwest,36.0,2650.0,6.0,66460.0,0.092,7.816641837,57.14977101
Rural,Midwest,34.0,3047.0,8.0,42291.0,0.247,7.844141908,64.55525538
Rural,Midwest,6.0,334.0,2.0,56042.0,0.081,6.89421381,55.54996228
Urban,Northeast,62.0,5382.0,13.0,97785.0,0.040999999999999995,7.284093398,70.49682764
Rural,South,15.0,734.0,1.0,50938.0,0.22399999999999998,8.657531761,60.9830696
Rural,South,102.0,5054.0,9.0,77733.0,0.075,6.931770403,57.67828949
Rural,West,2.0,66.0,2.0,82067.0,0.136,2.791916993,57.42778102
Rural,Midwest,13.0,653.0,4.0,58902.0,0.09699999999999999,6.579476943,59.49629064
Suburban,Northeast,10.0,2005.0,6.0,94012.0,0.102,8.83206922,63.34138272
Rural,Northeast,7.0,128.0,1.0,78250.0,0.031,5.281887616,51.42889
Town,Midwest,12.0,1204.0,3.0,72880.0,0.031,8.405400778,60.40764161
Urban,Northeast,72.0,22820.0,46.0,40083.0,0.293,6.849342442,58.57739933
Town,West,136.0,14533.0,23.0,98108.0,0.04,4.593817099,62.31415369
Urban,Midwest,14.0,1773.0,4.0,62753.0,0.122,10.04828104,62.46132457
Suburban,Midwest,15.0,2965.0,5.0,82163.0,0.048,7.774583158,67.16605641
Rural,South,24.0,3005.0,6.0,65761.0,0.10300000000000001,8.864780937,64.05685875
Rural,Midwest,17.0,1758.0,6.0,62932.0,0.153,8.011549648,62.1491317
Town,West,24.0,2731.0,6.0,78588.0,0.10300000000000001,4.438590438,61.60393606
Rural,West,10.0,399.0,1.0,60526.0,0.05,3.763727965,53.93083339
Town,South,34.0,4221.0,7.0,57034.0,0.147,7.701422325,59.75733798
Suburban,West,97.0,9418.0,18.0,124905.0,0.057,7.06485146,47.6925994
Rural,South,50.0,4979.0,9.0,71467.0,0.109,7.746499684,61.83256042
Rural,Northeast,4.0,118.0,1.0,69402.0,0.066,4.255622356,59.54621
Suburban,South,3.0,828.0,2.0,54799.0,0.192,9.880140428,65.07673432
Rural,West,6.0,134.0,1.0,78462.0,0.059000000000000004,7.862445328,55.41961305
Rural,South,7.0,343.0,2.0,63667.0,0.10800000000000001,6.205991854,59.33364765
Rural,Midwest,7.0,260.0,1.0,67390.0,0.040999999999999995,5.286440472,53.17267384
Rural,South,3.0,137.0,1.0,59018.0,0.075,8.670676835,61.8526217
Suburban,Northeast,9.0,3224.0,5.0,125718.0,0.054000000000000006,7.230824671,69.21031176
Town,Midwest,75.0,4480.0,7.0,46675.0,0.161,7.113037363,55.2386939
Suburban,West,198.0,62061.0,67.0,89800.0,0.122,7.696778545,65.52269228
Suburban,South,1025.0,106703.0,110.0,88416.0,0.08199999999999999,10.24720599,67.653563
Town,South,31.0,1671.0,5.0,40229.0,0.20199999999999999,8.93575858,56.14918386
Rural,Midwest,14.0,1024.0,4.0,62047.0,0.077,8.512336105,58.84520122
Rural,Midwest,12.0,517.0,3.0,53681.0,0.08800000000000001,6.659335679,56.98680872
Rural,South,61.0,3466.0,9.0,53805.0,0.128,9.116799113,57.66261087
Rural,South,63.0,4616.0,17.0,42661.0,0.242,8.713303675,62.62656875
Town,West,43.0,2773.0,10.0,55301.0,0.201,7.417242898,52.13171698
Rural,Midwest,41.0,2288.0,6.0,62380.0,0.10099999999999999,5.860546024,56.04038251
Town,West,13.0,1842.0,5.0,50539.0,0.182,5.886739642,59.79566692
Rural,Midwest,13.0,877.0,4.0,51319.0,0.16899999999999998,7.076765961,56.48241363
Rural,Midwest,34.0,2819.0,5.0,73015.0,0.059000000000000004,8.100204957,57.54564345
Suburban,Midwest,19.0,8987.0,11.0,113857.0,0.046,7.591422757,60.05902564
Rural,Midwest,13.0,582.0,2.0,46667.0,0.158,7.683005338,56.90124984
Suburban,Midwest,14.0,1251.0,3.0,56583.0,0.19899999999999998,8.510253204,62.23562601
Town,South,50.0,4612.0,6.0,58720.0,0.14800000000000002,8.576923009,58.08916928
Town,Midwest,47.0,2377.0,7.0,49594.0,0.15,7.644317379,56.38251587
Rural,South,11.0,329.0,1.0,64886.0,0.179,8.295787517,62.51504881
Rural,South,14.0,686.0,2.0,70917.0,0.13699999999999998,9.248220822,61.58703
Suburban,Midwest,160.0,11270.0,16.0,69858.0,0.095,9.576445216,61.7896145
Rural,Midwest,53.0,1392.0,4.0,71402.0,0.064,8.666528744,61.45373494
Rural,South,4.0,285.0,1.0,87500.0,0.14400000000000002,9.183079259,60.73913324
Rural,Midwest,1.0,23.0,1.0,63750.0,0.15,6.97150182,58.85919402
Town,South,15.0,2026.0,5.0,52802.0,0.28800000000000003,8.789689177,60.47174545
Town,Midwest,9.0,983.0,2.0,58042.0,0.023,8.604151604,60.77234406
Town,West,14.0,615.0,3.0,54625.0,0.067,5.806206691,50.26232854
Rural,South,126.0,7971.0,18.0,45332.0,0.21,7.087125847,60.08426424
Rural,West,6.0,181.0,2.0,46875.0,0.045,5.939220585,52.88398796
Rural,Midwest,26.0,945.0,4.0,54167.0,0.096,8.374937388,60.96823396
Town,South,25.0,1300.0,4.0,53264.0,0.18600000000000003,8.456691802,61.72577171
Rural,Midwest,6.0,483.0,2.0,60411.0,0.102,9.38871763,60.45424692
Rural,West,5.0,276.0,2.0,59148.0,0.10400000000000001,4.099688247,53.07513
Suburban,West,42.0,4242.0,11.0,62655.0,0.161,7.313349872,54.26062137
Rural,Midwest,7.0,325.0,2.0,93281.0,0.092,4.361921129,57.09454726
Rural,South,14.0,901.0,2.0,64926.0,0.08,7.451290968,59.0728079
Rural,South,14.0,538.0,2.0,56141.0,0.11699999999999999,8.672726156,63.40588201
Rural,Midwest,8.0,361.0,1.0,71071.0,0.195,7.286353935,60.19102467
Suburban,Northeast,11.0,2302.0,4.0,141915.0,0.034,7.99351422,64.25648968
Rural,Midwest,1.0,2.0,1.0,91563.0,0.028999999999999998,4.75935589,55.86267
Rural,Midwest,10.0,164.0,2.0,78750.0,0.106,4.184229518,56.30523476
Suburban,South,35.0,2598.0,4.0,53141.0,0.18899999999999997,7.311289599,59.23336267
Rural,South,22.0,1004.0,3.0,34563.0,0.249,7.331391093,56.01371898
Rural,Midwest,7.0,286.0,2.0,61971.0,0.20600000000000002,4.292944299,58.79841859
Urban,South,235.0,45255.0,98.0,38449.0,0.27399999999999997,9.352579772,64.04984879
Rural,Northeast,29.0,1430.0,4.0,130552.0,0.026000000000000002,7.822751512,63.32213055
Rural,South,94.0,3878.0,13.0,52726.0,0.152,6.681697677,57.36883429
Rural,Midwest,14.0,916.0,2.0,94798.0,0.04,6.08810057,59.06707728
Town,South,35.0,1892.0,4.0,86633.0,0.057999999999999996,7.444853221,55.69014331
Rural,Northeast,1.0,109.0,1.0,125250.0,0.217,6.987697534,61.53204
Town,South,24.0,954.0,3.0,41063.0,0.264,9.208194178,60.11284975
Rural,Midwest,11.0,788.0,3.0,61750.0,0.057,7.059896671,54.09582583
Suburban,Midwest,14.0,2688.0,5.0,84488.0,0.061,7.822084914,66.3352614
Suburban,Midwest,7.0,4423.0,8.0,67028.0,0.07,5.823926712,58.08934613
Suburban,Midwest,30.0,2948.0,4.0,86742.0,0.039,9.012341328,59.38960735
Town,Midwest,59.0,7304.0,18.0,60622.0,0.138,6.210672694,56.54011334
Rural,Midwest,15.0,1065.0,3.0,52639.0,0.17,6.800876474,58.77325036
Rural,Midwest,7.0,113.0,2.0,55870.0,0.08199999999999999,5.822875413,54.36873183
Town,Midwest,26.0,1613.0,4.0,58758.0,0.11900000000000001,8.257828873,59.49928647
Rural,Northeast,6.0,118.0,1.0,53250.0,0.062,6.205227705,52.10583901
Town,West,37.0,2337.0,7.0,55825.0,0.147,7.259604898,53.25203632
Rural,South,6.0,197.0,1.0,37500.0,0.136,6.840262115,61.05821796
Rural,South,41.0,3544.0,7.0,44491.0,0.256,8.219171706,61.01387704
Rural,Midwest,5.0,186.0,2.0,78098.0,0.062,5.497187517,57.75271429
Rural,Northeast,2.0,28.0,0.0,54959.0,0.025,4.306005863,51.5702
Rural,South,50.0,1359.0,5.0,50347.0,0.165,6.41354816,65.80183769
Suburban,West,21.0,2568.0,6.0,63833.0,0.16399999999999998,6.861659656,57.47745707
Rural,Midwest,6.0,92.0,2.0,60461.0,0.125,7.358992206,55.06035565
Rural,West,7.0,236.0,1.0,45877.0,0.287,6.329570655,51.12639569
Urban,South,96.0,20399.0,30.0,50811.0,0.21,10.7756227,54.13144816
Suburban,Northeast,5.0,3065.0,7.0,82850.0,0.08900000000000001,8.574209168,62.96811974
Suburban,West,30.0,2627.0,5.0,72355.0,0.083,6.849972712,46.32981285
Rural,Midwest,6.0,446.0,2.0,57798.0,0.135,5.062875882,56.36441988
Rural,Northeast,9.0,359.0,1.0,68537.0,0.061,6.116235074,52.70612035
Rural,West,2.0,26.0,1.0,39107.0,0.327,5.831980575,53.16856888
Suburban,Midwest,24.0,1890.0,4.0,76508.0,0.075,8.680235255,65.64812853
Suburban,West,49.0,4940.0,13.0,65837.0,0.145,6.023274666,51.16034651
Suburban,Midwest,14.0,1189.0,2.0,76088.0,0.063,10.26197446,66.76507381
Town,West,44.0,4751.0,9.0,54420.0,0.221,9.076567994,54.59691048
Rural,Northeast,25.0,1274.0,4.0,48470.0,0.21600000000000003,4.229674009,48.37617844
Suburban,West,14.0,4274.0,9.0,114800.0,0.049,6.225120703,67.71667423
Town,West,33.0,5939.0,11.0,48870.0,0.213,11.22563107,75.40797239
Suburban,Northeast,1.0,1766.0,4.0,100906.0,0.085,7.879190163,61.76389598
Rural,Midwest,11.0,239.0,2.0,105938.0,0.062,4.140064434,57.00403647
Rural,South,12.0,634.0,3.0,66213.0,0.075,8.8728859,61.14856061
Town,South,73.0,4909.0,8.0,48065.0,0.16699999999999998,8.706466463,62.15031522
Suburban,Midwest,7.0,1109.0,2.0,63817.0,0.075,10.08302118,67.48259078
Rural,South,13.0,1061.0,3.0,74857.0,0.083,8.887645327,61.26106367
Suburban,South,160.0,12640.0,19.0,96144.0,0.049,7.018548062,58.22475526
Suburban,West,15.0,1554.0,4.0,71447.0,0.087,7.74075361,55.36932305
Rural,Midwest,8.0,475.0,2.0,55208.0,0.096,6.669908468,57.76692101
Suburban,Northeast,113.0,7845.0,16.0,146712.0,0.036000000000000004,8.103800073,64.63293105
Rural,South,49.0,7243.0,12.0,58090.0,0.134,8.877338468,66.41699194
Rural,Midwest,11.0,584.0,2.0,69574.0,0.067,7.507250263,58.4686966
Suburban,West,49.0,4401.0,10.0,83180.0,0.078,5.705991099,68.67500358
Town,South,42.0,2938.0,6.0,45728.0,0.184,7.002416492,59.22738657
Rural,Midwest,9.0,613.0,4.0,63465.0,0.106,8.250642133,62.4500015
Rural,West,28.0,3801.0,8.0,100018.0,0.098,8.282856868,65.63502306
Rural,Midwest,4.0,216.0,2.0,48977.0,0.187,5.5684769,53.14918597
Urban,Midwest,161.0,20561.0,34.0,67098.0,0.106,7.941014039,59.81539448
Rural,Midwest,9.0,529.0,3.0,58284.0,0.11,7.878129747,58.58168456
Suburban,Midwest,3.0,435.0,2.0,62344.0,0.07400000000000001,8.777533156,62.02245652
Suburban,Midwest,203.0,25744.0,38.0,80848.0,0.071,9.678742086,63.20108617
Town,South,66.0,4063.0,7.0,62549.0,0.075,8.738707394,62.65468596
Rural,South,36.0,1801.0,7.0,39588.0,0.19399999999999998,7.729271267,57.67210185
Urban,South,179.0,18710.0,54.0,39502.0,0.264,9.785741161,58.19515746
Rural,West,4.0,173.0,2.0,59519.0,0.16899999999999998,5.14480517,65.04880414
Town,Midwest,15.0,703.0,2.0,44196.0,0.154,8.125795916,57.64924678
Rural,South,30.0,1477.0,3.0,50958.0,0.17800000000000002,8.601803225,60.57066424
Suburban,West,7.0,356.0,2.0,63718.0,0.147,6.399385238,53.24925745
Suburban,South,59.0,11165.0,12.0,67677.0,0.14,6.672952509,63.02580035
Urban,Midwest,2.0,8784.0,15.0,56477.0,0.131,7.362059466,56.32517765
Rural,Northeast,19.0,858.0,3.0,88842.0,0.008,6.430799073,53.64491038
Town,West,8.0,873.0,3.0,82111.0,0.102,7.997600012,50.32664509
Rural,Midwest,9.0,684.0,4.0,78255.0,0.081,7.274897621,59.66260471
Suburban,Midwest,69.0,5909.0,11.0,66477.0,0.151,10.13312446,67.30707914
Suburban,Midwest,93.0,2397.0,5.0,82166.0,0.046,8.827735508,59.83001873
Rural,Midwest,7.0,352.0,2.0,60208.0,0.124,8.74919336,60.96158398
Rural,Midwest,18.0,1269.0,3.0,38134.0,0.20199999999999999,7.966666039,56.11935228
